#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[FAIL] step=85 pc=0x80000154 inst=0x36108093 x1 expected=0xfe2f6361 got=0xfe2f6000
[FAIL] step=86 pc=0x80000158 inst=0x80008193 x3 expected=0xfe2f5b61 got=0x00000001
[FAIL] step=87 pc=0x8000015c inst=0x322f20b7 x1 expected=0x322f2000 got=0xfe2f6361
[FAIL] step=88 pc=0x80000160 inst=0xcde08093 x1 expected=0x322f1cde got=0x322f2000
[FAIL] step=89 pc=0x80000164 inst=0xfff0a193 x3 expected=0x00000000 got=0xfe2f5b61
[FAIL] step=90 pc=0x80000168 inst=0x6d62b0b7 x1 expected=0x6d62b000 got=0x322f1cde
[FAIL] step=91 pc=0x8000016c inst=0x1e208093 x1 expected=0x6d62b1e2 got=0x6d62b000
[FAIL] step=92 pc=0x80000170 inst=0x8000b193 x3 expected=0x00000001 got=0x00000000
[FAIL] step=93 pc=0x80000174 inst=0xc90f60b7 x1 expected=0xc90f6000 got=0x6d62b1e2
[FAIL] step=94 pc=0x80000178 inst=0x39108093 x1 expected=0xc90f6391 got=0xc90f6000
[FAIL] step=95 pc=0x8000017c inst=0xc000c193 x3 expected=0x36f09f91 got=0x00000001
[FAIL] step=96 pc=0x80000180 inst=0x77f5d0b7 x1 expected=0x77f5d000 got=0xc90f6391
[FAIL] step=97 pc=0x80000184 inst=0x79908093 x1 expected=0x77f5d799 got=0x77f5d000
[FAIL] step=98 pc=0x80000188 inst=0x0000e193 x3 expected=0x77f5d799 got=0x36f09f91
[FAIL] step=99 pc=0x8000018c inst=0x397d70b7 x1 expected=0x397d7000 got=0x77f5d799
[FAIL] step=100 pc=0x80000190 inst=0xaec08093 x1 expected=0x397d6aec got=0x397d7000
[FAIL] step=101 pc=0x80000194 inst=0xfff0f193 x3 expected=0x397d6aec got=0x77f5d799
[FAIL] step=102 pc=0x80000198 inst=0x022090b7 x1 expected=0x02209000 got=0x397d6aec
[FAIL] step=103 pc=0x8000019c inst=0xcc508093 x1 expected=0x02208cc5 got=0x02209000
[FAIL] step=104 pc=0x800001a0 inst=0x3ff08193 x3 expected=0x022090c4 got=0x397d6aec
